group,d_full,d_kappa,d_isr
r270,6.477474689483643,4.619114875793457,4.976621627807617
flip_h,3.884446620941162,3.1015095710754395,2.0149683952331543
flip_h_r90,2.7746939659118652,2.4377048015594482,2.566784620285034
flip_h_r180,4.075310230255127,7.7502055168151855,6.0288801193237305
flip_h_r270,5.623415470123291,1.1917059421539307,4.698779582977295
r90,7.213112831115723,12.213595390319824,8.21377944946289
r180,2.7360785007476807,7.659873008728027,7.527556896209717
r270,6.825361251831055,8.349536895751953,8.546513557434082
flip_h,5.130354881286621,8.422590255737305,10.171585083007812
flip_h_r90,6.371768474578857,12.998980522155762,4.674169540405273
flip_h_r180,2.9295780658721924,3.930440902709961,11.855354309082031
flip_h_r270,7.242011547088623,6.920806407928467,8.905608177185059
r90,1.4787095785140991,5.269886493682861,4.567624092102051
r180,1.8495068550109863,5.277667999267578,4.072808742523193
r270,1.2515586614608765,7.791024208068848,2.4714784622192383
flip_h,0.4938230514526367,7.659082412719727,3.939063549041748
flip_h_r90,2.0147385597229004,7.130336761474609,9.81989860534668
flip_h_r180,1.2152045965194702,4.7951459884643555,3.0010452270507812
flip_h_r270,1.590174913406372,3.5229828357696533,6.331944942474365
r90,7.624128818511963,2.6118593215942383,8.766291618347168
r180,1.041319489479065,1.3315119743347168,3.7692177295684814
r270,6.295252323150635,5.561760902404785,7.274557113647461
flip_h,0.561899721622467,0.5236790776252747,0.25318148732185364
flip_h_r90,6.045780181884766,3.2554478645324707,7.310373306274414
flip_h_r180,1.315405011177063,6.232201099395752,3.4490814208984375
flip_h_r270,5.904688358306885,0.269248366355896,4.88677453994751
r90,4.433391571044922,3.400601387023926,3.8158299922943115
r180,0.6917927265167236,0.450434148311615,1.95085871219635
r270,5.788976192474365,1.788079857826233,3.674008369445801
flip_h,1.573063611984253,0.6396582722663879,1.306657314300537
flip_h_r90,4.539299488067627,0.46813151240348816,4.073938369750977
flip_h_r180,0.8211182951927185,0.5373280048370361,1.6947890520095825
flip_h_r270,6.808955192565918,3.946415662765503,5.413801193237305
r90,3.8722567558288574,2.8195059299468994,4.845046520233154
r180,2.393048048019409,2.6353979110717773,4.668353080749512
r270,3.855813503265381,0.5914362668991089,6.965567111968994
flip_h,0.7521681189537048,1.513612985610962,2.441591501235962
flip_h_r90,2.4678733348846436,3.310964584350586,6.098449230194092
flip_h_r180,0.8964647650718689,3.3244287967681885,5.266709804534912
flip_h_r270,4.980672836303711,1.3916780948638916,5.096210956573486
r90,3.2046213150024414,3.9052720069885254,4.757106304168701
r180,2.502760410308838,2.156796455383301,2.483854055404663
r270,2.688622236251831,3.1538126468658447,3.539882183074951
flip_h,1.4696303606033325,0.9174997210502625,1.488765001296997
flip_h_r90,2.815417528152466,2.931126832962036,3.33725643157959
flip_h_r180,0.3188808262348175,3.110241413116455,0.3878210484981537
flip_h_r270,1.390665888786316,1.1843230724334717,2.369173765182495
r90,4.742029190063477,2.0737407207489014,2.1675636768341064
r180,0.8223822712898254,0.7094384431838989,1.1785584688186646
r270,5.334632873535156,0.6930592656135559,2.9245898723602295
flip_h,0.437223345041275,1.0345990657806396,0.9424028992652893
flip_h_r90,4.2952494621276855,0.7748541235923767,1.9710983037948608
