model,img_idx,true_class,group,hook,delta_l2,act_diff_sq
VanillaLensPINN,17,2,r90,H16_after_gap,4.098408222198486,23.83770751953125
VanillaLensPINN,17,2,r90,H17_pre_linear,4.098408222198486,23.83770751953125
VanillaLensPINN,17,2,r180,H00_preprocess,5.062275409698486,854.9514770507812
VanillaLensPINN,17,2,r180,H01_enc1,5.062275409698486,230350.390625
VanillaLensPINN,17,2,r180,H02_enc2,3.3904097080230713,170110.625
VanillaLensPINN,17,2,r180,H03_enc3,1.3332481384277344,111605.4296875
VanillaLensPINN,17,2,r180,H04_bot,1.3121529817581177,3532693.0
VanillaLensPINN,17,2,r180,H08_kappa_out,5.062275409698486,17.731409072875977
VanillaLensPINN,17,2,r180,H09_poisson,3.194955587387085,73822.953125
VanillaLensPINN,17,2,r180,H10_deflection,3.194955587387085,594.1710205078125
VanillaLensPINN,17,2,r180,H11_inv_lens,0.8041699528694153,325.20679569244385
VanillaLensPINN,17,2,r180,H12_HANDOFF,2.013390302658081,646.6648559570312
VanillaLensPINN,17,2,r180,H13_eff3,2.013390302658081,696870.25
VanillaLensPINN,17,2,r180,H13b_eff4,2.013390302658081,311633.5
VanillaLensPINN,17,2,r180,H14_eff5,2.013390302658081,350285.9375
VanillaLensPINN,17,2,r180,H14b_eff6,2.013390302658081,215693.21875
VanillaLensPINN,17,2,r180,H15_before_gap,2.013390302658081,16307.919921875
VanillaLensPINN,17,2,r180,H16_after_gap,2.013390302658081,6.435720443725586
VanillaLensPINN,17,2,r180,H17_pre_linear,2.013390302658081,6.435720443725586
VanillaLensPINN,17,2,r270,H00_preprocess,5.310690879821777,711.7491455078125
VanillaLensPINN,17,2,r270,H01_enc1,5.310690879821777,210587.53125
VanillaLensPINN,17,2,r270,H02_enc2,4.256892681121826,141346.390625
VanillaLensPINN,17,2,r270,H03_enc3,0.9728458523750305,78688.0625
VanillaLensPINN,17,2,r270,H04_bot,0.4129367768764496,2466919.5
VanillaLensPINN,17,2,r270,H08_kappa_out,5.310690879821777,12.045275688171387
VanillaLensPINN,17,2,r270,H09_poisson,0.5835965871810913,84342.3515625
VanillaLensPINN,17,2,r270,H10_deflection,0.5835965871810913,388.57135009765625
VanillaLensPINN,17,2,r270,H11_inv_lens,1.236672043800354,229.41790294647217
